,Credit_Mix
24133,Standard
24134,Standard
24135,Standard
24136,Good
24137,Good
24138,Good
24139,Good
24140,Standard
24141,Standard
24142,Standard
24143,Standard
24144,Good
24145,Good
24146,Good
24147,Good
24148,Good
24149,Good
24150,Good
24151,Good
24152,Standard
24153,Standard
24154,Standard
24155,Standard
24156,Bad
24157,Bad
24158,Bad
24159,Bad
24160,Good
24161,Good
24162,Good
24163,Good
24164,Bad
24165,Bad
24166,Bad
24167,Bad
24168,Good
24169,Good
24170,Good
24171,Good
24172,Good
24173,Good
24174,Good
24175,Good
24176,Bad
24177,Bad
24178,Bad
24179,Bad
24180,Standard
24181,Standard
24182,Standard
24183,Standard
24184,Bad
24185,Bad
24186,Bad
24187,Bad
24188,Bad
24189,Bad
24190,Bad
24191,Bad
24192,Standard
24193,Standard
24194,Standard
24195,Standard
24196,Good
24197,Good
24198,Good
24199,Good
24200,Bad
24201,Bad
24202,Bad
24203,Bad
24204,Standard
24205,Standard
24206,Standard
24207,Standard
24208,Good
24209,Good
24210,Good
24211,Good
24212,Standard
24213,Standard
24214,Standard
24215,Standard
24216,Standard
24217,Standard
24218,Standard
24219,Standard
24220,Good
24221,Good
24222,Good
24223,Good
24224,Bad
24225,Bad
24226,Bad
24227,Bad
24228,Standard
24229,Standard
24230,Standard
24231,Standard
24232,Good
24233,Good
24234,Good
24235,Good
24236,Bad
24237,Bad
24238,Bad
24239,Bad
24240,Bad
24241,Bad
24242,Bad
24243,Bad
24244,Standard
24245,Standard
24246,Standard
24247,Standard
24248,Bad
24249,Bad
24250,Bad
24251,Bad
24252,Good
24253,Good
24254,Good
24255,Good
24256,Standard
24257,Standard
24258,Standard
24259,Standard
24260,Bad
24261,Bad
24262,Bad
24263,Bad
24264,Standard
24265,Standard
24266,Standard
24267,Standard
24268,Standard
24269,Standard
24270,Standard
24271,Standard
24272,Standard
24273,Standard
24274,Standard
24275,Standard
24276,Standard
24277,Standard
24278,Standard
24279,Standard
24280,Standard
24281,Standard
24282,Standard
24283,Standard
24284,Bad
24285,Bad
24286,Bad
24287,Bad
24288,Good
24289,Good
24290,Good
24291,Good
24292,Bad
24293,Bad
24294,Bad
24295,Bad
24296,Good
24297,Good
24298,Good
24299,Good
24300,Bad
24301,Bad
24302,Bad
24303,Bad
24304,Standard
24305,Standard
24306,Standard
24307,Standard
24308,Standard
24309,Standard
24310,Standard
24311,Standard
24312,Standard
24313,Standard
24314,Standard
24315,Standard
24316,Standard
24317,Standard
24318,Standard
24319,Standard
24320,Bad
24321,Bad
24322,Bad
24323,Bad
24324,Bad
24325,Bad
24326,Bad
24327,Bad
24328,Good
24329,Good
24330,Good
24331,Good
24332,Standard
24333,Standard
24334,Standard
24335,Standard
24336,Standard
24337,Standard
24338,Standard
24339,Standard
24340,Standard
24341,Standard
24342,Standard
24343,Standard
24344,Standard
24345,Standard
24346,Standard
24347,Standard
24348,Standard
24349,Standard
24350,Standard
24351,Standard
24352,Standard
24353,Standard
24354,Standard
24355,Standard
24356,Standard
24357,Standard
24358,Standard
24359,Standard
24360,Good
24361,Good
24362,Good
24363,Good
24364,Good
24365,Good
24366,Good
24367,Good
24368,Bad
24369,Bad
24370,Bad
24371,Bad
24372,Standard
24373,Standard
24374,Standard
24375,Standard
24376,Good
24377,Good
24378,Good
24379,Good
24380,Standard
24381,Standard
24382,Standard
24383,Standard
24384,Good
24385,Good
24386,Good
24387,Good
24388,Good
24389,Good
24390,Good
24391,Good
24392,Standard
24393,Standard
24394,Standard
24395,Standard
24396,Bad
24397,Bad
24398,Bad
24399,Bad
24400,Standard
24401,Standard
24402,Standard
24403,Standard
24404,Standard
24405,Standard
24406,Standard
24407,Standard
24408,Bad
24409,Bad
24410,Bad
24411,Bad
24412,Standard
24413,Standard
24414,Standard
24415,Standard
24416,Standard
24417,Standard
24418,Standard
24419,Standard
24420,Standard
24421,Standard
24422,Standard
24423,Standard
24424,Good
24425,Good
24426,Good
24427,Good
24428,Standard
24429,Standard
24430,Standard
24431,Standard
24432,Standard
24433,Standard
24434,Standard
24435,Standard
24436,Good
24437,Good
24438,Good
24439,Good
24440,Standard
24441,Standard
24442,Standard
24443,Standard
24444,Good
24445,Good
24446,Good
24447,Good
24448,Standard
24449,Standard
24450,Standard
24451,Standard
24452,_
24453,_
24454,_
24455,_
24456,Good
24457,Good
24458,Good
24459,Good
24460,Bad
24461,Bad
24462,Bad
24463,Bad
24464,Good
24465,Good
24466,Good
24467,Good
24468,Good
24469,Good
24470,Good
24471,Good
24472,Good
24473,Good
24474,Good
24475,Good
24476,Good
24477,Good
24478,Good
24479,Good
24480,Good
24481,Good
24482,Good
24483,Good
24484,Bad
24485,Bad
24486,Bad
24487,Bad
24488,Good
24489,Good
24490,Good
24491,Good
24492,Standard
24493,Standard
24494,Standard
24495,Standard
24496,Bad
24497,Bad
24498,Bad
24499,Bad
24500,Standard
24501,Standard
24502,Standard
24503,Standard
24504,Bad
24505,Bad
24506,Bad
24507,Bad
24508,Good
24509,Good
24510,Good
24511,Good
24512,Bad
24513,Bad
24514,Bad
24515,Bad
24516,Good
24517,Good
24518,Good
24519,Good
24520,Standard
24521,Standard
24522,Standard
24523,Standard
24524,Bad
24525,Bad
24526,Bad
24527,Bad
24528,Good
24529,Good
24530,Good
24531,Good
24532,Standard
24533,Standard
24534,Standard
24535,Standard
24536,Standard
24537,Standard
24538,Standard
24539,Standard
24540,Bad
24541,Bad
24542,Bad
24543,Bad
24544,Good
24545,Good
24546,Good
24547,Good
24548,Bad
24549,Bad
24550,Bad
24551,Bad
24552,Good
24553,Good
24554,Good
24555,Good
24556,Good
24557,Good
24558,Good
24559,Good
24560,Good
24561,Good
24562,Good
24563,Good
24564,Good
24565,Good
24566,Good
24567,Good
24568,Standard
24569,Standard
24570,Standard
24571,Standard
24572,Standard
24573,Standard
24574,Standard
24575,Standard
24576,Standard
24577,Standard
24578,Standard
24579,Standard
24580,Bad
24581,Bad
24582,Bad
24583,Bad
24584,Standard
24585,Standard
24586,Standard
24587,Standard
24588,Standard
24589,Standard
24590,Standard
24591,Standard
24592,Bad
24593,Bad
24594,Bad
24595,Bad
24596,Standard
24597,Standard
24598,Standard
24599,Standard
24600,Good
24601,Good
24602,Good
24603,Good
24604,Standard
24605,Standard
24606,Standard
24607,Standard
24608,Standard
24609,Standard
24610,Standard
24611,Standard
24612,Bad
24613,Bad
24614,Bad
24615,Bad
24616,Standard
24617,Standard
24618,Standard
24619,Standard
24620,Bad
24621,Bad
24622,Bad
24623,Bad
24624,Standard
24625,Standard
24626,Standard
24627,Standard
24628,Good
24629,Good
24630,Good
24631,Good
24632,Standard
24633,Standard
24634,Standard
24635,Standard
24636,Standard
24637,Standard
24638,Standard
24639,Standard
24640,Standard
24641,Standard
24642,Standard
24643,Standard
24644,Bad
24645,Bad
24646,Bad
24647,Bad
24648,Good
24649,Good
24650,Good
24651,Good
24652,Standard
24653,Standard
24654,Standard
24655,Standard
24656,Good
24657,Good
24658,Good
24659,Good
24660,Bad
24661,Bad
24662,Bad
24663,Bad
24664,Bad
24665,Bad
24666,Bad
24667,Bad
24668,Bad
24669,Bad
24670,Bad
24671,Bad
24672,Good
24673,Good
24674,Good
24675,Good
24676,Bad
24677,Bad
24678,Bad
24679,Bad
24680,Good
24681,Good
24682,Good
24683,Good
24684,Standard
24685,Standard
24686,Standard
24687,Standard
24688,Good
24689,Good
24690,Good
24691,Good
24692,Good
24693,Good
24694,Good
24695,Good
24696,Bad
24697,Bad
24698,Bad
24699,Bad
24700,Good
24701,Good
24702,Good
24703,Good
24704,Standard
24705,Standard
24706,Standard
24707,Standard
24708,Standard
24709,Standard
24710,Standard
24711,Standard
24712,Standard
24713,Standard
24714,Standard
24715,Standard
24716,Standard
24717,Standard
24718,Standard
24719,Standard
24720,Standard
24721,Standard
24722,Standard
24723,Standard
24724,Standard
24725,Standard
24726,Standard
24727,Standard
24728,Good
24729,Good
24730,Good
24731,Good
24732,Standard
24733,Standard
24734,Standard
24735,Standard
24736,Standard
24737,Standard
24738,Standard
24739,Standard
24740,Standard
24741,Standard
24742,Standard
24743,Standard
24744,Good
24745,Good
24746,Good
24747,Good
24748,Standard
24749,Standard
24750,Standard
24751,Standard
24752,Standard
24753,Standard
24754,Standard
24755,Standard
24756,Standard
24757,Standard
24758,Standard
24759,Standard
24760,Standard
24761,Standard
24762,Standard
24763,Standard
24764,Standard
24765,Standard
24766,Standard
24767,Standard
24768,Bad
24769,Bad
24770,Bad
24771,Bad
24772,Good
24773,Good
24774,Good
24775,Good
24776,Good
24777,Good
24778,Good
24779,Good
24780,Bad
24781,Bad
24782,Bad
24783,Bad
24784,Good
24785,Good
24786,Good
24787,Good
24788,Bad
24789,Bad
24790,Bad
24791,Bad
24792,Standard
24793,Standard
24794,Standard
24795,Standard
24796,Standard
24797,Standard
24798,Standard
24799,Standard
24800,Good
24801,Good
24802,Good
24803,Good
24804,Bad
24805,Bad
24806,Bad
24807,Bad
24808,Standard
24809,Standard
24810,Standard
24811,Standard
24812,Good
24813,Good
24814,Good
24815,Good
24816,Bad
24817,Bad
24818,Bad
24819,Bad
24820,Standard
24821,Standard
24822,Standard
24823,Standard
24824,Standard
24825,Standard
24826,Standard
24827,Standard
24828,Standard
24829,Standard
24830,Standard
24831,Standard
24832,Standard
24833,Standard
24834,Standard
24835,Standard
24836,Bad
24837,Bad
24838,Bad
24839,Bad
24840,Standard
24841,Standard
24842,Standard
24843,Standard
24844,Bad
24845,Bad
24846,Bad
24847,Bad
24848,Standard
24849,Standard
24850,Standard
24851,Standard
24852,Standard
24853,Standard
24854,Standard
24855,Standard
24856,Good
24857,Good
24858,Good
24859,Good
24860,Standard
24861,Standard
24862,Standard
24863,Standard
24864,Standard
24865,Standard
24866,Standard
24867,Standard
24868,Bad
24869,Bad
24870,Bad
24871,Bad
24872,Standard
24873,Standard
24874,Standard
24875,Standard
24876,Good
24877,Good
24878,Good
24879,Good
24880,Good
24881,Good
24882,Good
24883,Good
24884,Good
24885,Good
24886,Good
24887,Good
24888,Standard
24889,Standard
24890,Standard
24891,Standard
24892,Bad
24893,Bad
24894,Bad
24895,Bad
24896,Standard
24897,Standard
24898,Standard
24899,Standard
24900,Good
24901,Good
24902,Good
24903,Good
24904,Bad
24905,Bad
24906,Bad
24907,Bad
24908,Good
24909,Good
24910,Good
24911,Good
24912,Standard
24913,Standard
24914,Standard
24915,Standard
24916,Standard
24917,Standard
24918,Standard
24919,Standard
24920,Bad
24921,Bad
24922,Bad
24923,Bad
24924,Bad
24925,Bad
24926,Bad
24927,Bad
24928,Good
24929,Good
24930,Good
24931,Good
24932,Standard
24933,Standard
24934,Standard
24935,Standard
24936,Standard
24937,Standard
24938,Standard
24939,Standard
24940,Standard
24941,Standard
24942,Standard
24943,Standard
24944,Good
24945,Good
24946,Good
24947,Good
24948,Standard
24949,Standard
24950,Standard
24951,Standard
24952,Standard
24953,Standard
24954,Standard
24955,Standard
24956,Good
24957,Good
24958,Good
24959,Good
24960,Good
24961,Good
24962,Good
24963,Good
24964,Standard
24965,Standard
24966,Standard
24967,Standard
24968,Standard
24969,Standard
24970,Standard
24971,Standard
24972,Good
24973,Good
24974,Good
24975,Good
24976,Standard
24977,Standard
24978,Standard
24979,Standard
24980,Good
24981,Good
24982,Good
24983,Good
24984,Standard
24985,Standard
24986,Standard
24987,Standard
24988,Bad
24989,Bad
24990,Bad
24991,Bad
24992,Standard
24993,Standard
24994,Standard
24995,Standard
24996,Standard
24997,Standard
24998,Standard
24999,Standard
25000,Standard
25001,Standard
25002,Standard
25003,Standard
25004,Standard
25005,Standard
25006,Standard
25007,Standard
25008,Standard
25009,Standard
25010,Standard
25011,Standard
25012,Bad
25013,Bad
25014,Bad
25015,Bad
25016,Standard
25017,Standard
25018,Standard
25019,Standard
25020,Bad
25021,Bad
25022,Bad
25023,Bad
25024,Standard
25025,Standard
25026,Standard
25027,Standard
25028,Bad
25029,Bad
25030,Bad
25031,Bad
25032,Standard
25033,Standard
25034,Standard
25035,Standard
25036,Bad
25037,Bad
25038,Bad
25039,Bad
25040,Standard
25041,Standard
25042,Standard
25043,Standard
25044,Bad
25045,Bad
25046,Bad
25047,Bad
25048,Good
25049,Good
25050,Good
25051,Good
25052,Standard
25053,Standard
25054,Standard
25055,Standard
25056,Bad
25057,Bad
25058,Bad
25059,Bad
25060,Good
25061,Good
25062,Good
25063,Good
25064,Standard
25065,Standard
25066,Standard
25067,Standard
25068,Standard
25069,Standard
25070,Standard
25071,Standard
25072,Bad
25073,Bad
25074,Bad
25075,Bad
25076,Standard
25077,Standard
25078,Standard
25079,Standard
25080,Bad
25081,Bad
25082,Bad
25083,Bad
25084,Bad
25085,Bad
25086,Bad
25087,Bad
25088,Standard
25089,Standard
25090,Standard
25091,Standard
25092,Standard
25093,Standard
25094,Standard
25095,Standard
25096,Good
25097,Good
25098,Good
25099,Good
25100,Bad
25101,Bad
25102,Bad
25103,Bad
25104,Bad
25105,Bad
25106,Bad
25107,Bad
25108,Standard
25109,Standard
25110,Standard
25111,Standard
25112,Standard
25113,Standard
25114,Standard
25115,Standard
25116,Bad
25117,Bad
25118,Bad
25119,Bad
25120,Standard
25121,Standard
25122,Standard
25123,Standard
25124,Standard
25125,Standard
25126,Standard
25127,Standard
25128,Standard
25129,Standard
25130,Standard
25131,Standard
25132,Good
25133,Good
25134,Good
25135,Good
25136,Standard
25137,Standard
25138,Standard
25139,Standard
25140,Good
25141,Good
25142,Good
25143,Good
25144,Good
25145,Good
25146,Good
25147,Good
25148,Standard
25149,Standard
25150,Standard
25151,Standard
25152,Standard
25153,Standard
25154,Standard
25155,Standard
25156,Good
25157,Good
25158,Good
25159,Good
25160,Good
25161,Good
25162,Good
25163,Good
25164,Good
25165,Good
25166,Good
25167,Good
25168,Good
25169,Good
25170,Good
25171,Good
25172,Bad
25173,Bad
25174,Bad
25175,Bad
25176,Standard
25177,Standard
25178,Standard
25179,Standard
25180,Standard
25181,Standard
25182,Standard
25183,Standard
25184,Standard
25185,Standard
25186,Standard
25187,Standard
25188,Bad
25189,Bad
25190,Bad
25191,Bad
25192,Good
25193,Good
25194,Good
25195,Good
25196,Good
25197,Good
25198,Good
25199,Good
25200,Standard
25201,Standard
25202,Standard
25203,Standard
25204,Bad
25205,Bad
25206,Bad
25207,Bad
25208,Good
25209,Good
25210,Good
25211,Good
25212,Standard
25213,Standard
25214,Standard
25215,Standard
25216,Good
25217,Good
25218,Good
25219,Good
25220,Good
25221,Good
25222,Good
25223,Good
25224,Good
25225,Good
25226,Good
25227,Good
25228,Good
25229,Good
25230,Good
25231,Good
25232,Good
25233,Good
25234,Good
25235,Good
25236,Bad
25237,Bad
25238,Bad
25239,Bad
25240,Good
25241,Good
25242,Good
25243,Good
25244,Standard
25245,Standard
25246,Standard
25247,Standard
25248,Standard
25249,Standard
25250,Standard
25251,Standard
25252,Bad
25253,Bad
25254,Bad
25255,Bad
25256,Good
25257,Good
25258,Good
25259,Good
25260,Standard
25261,Standard
25262,Standard
25263,Standard
25264,Standard
25265,Standard
25266,Standard
25267,Standard
25268,Bad
25269,Bad
25270,Bad
25271,Bad
25272,Good
25273,Good
25274,Good
25275,Good
25276,Good
25277,Good
25278,Good
25279,Good
25280,Good
25281,Good
25282,Good
25283,Good
25284,Bad
25285,Bad
25286,Bad
25287,Bad
25288,Standard
25289,Standard
25290,Standard
25291,Standard
25292,Standard
25293,Standard
25294,Standard
25295,Standard
25296,Good
25297,Good
25298,Good
25299,Good
25300,Good
25301,Good
25302,Good
25303,Good
25304,Standard
25305,Standard
25306,Standard
25307,Standard
25308,Good
25309,Good
25310,Good
25311,Good
25312,Good
25313,Good
25314,Good
25315,Good
25316,Standard
25317,Standard
25318,Standard
25319,Standard
25320,Bad
25321,Bad
25322,Bad
25323,Bad
25324,Standard
25325,Standard
25326,Standard
25327,Standard
25328,Standard
25329,Standard
25330,Standard
25331,Standard
25332,Bad
25333,Bad
25334,Bad
25335,Bad
25336,Bad
25337,Bad
25338,Bad
25339,Bad
25340,Standard
25341,Standard
25342,Standard
25343,Standard
25344,Standard
25345,Standard
25346,Standard
25347,Standard
25348,Standard
25349,Standard
25350,Standard
25351,Standard
25352,Bad
25353,Bad
25354,Bad
25355,Bad
25356,Bad
25357,Bad
25358,Bad
25359,Bad
25360,Standard
25361,Standard
25362,Standard
25363,Standard
25364,Good
25365,Good
25366,Good
25367,Good
25368,Good
25369,Good
25370,Good
25371,Good
25372,Standard
25373,Standard
25374,Standard
25375,Standard
25376,Bad
25377,Bad
25378,Bad
25379,Bad
25380,Standard
25381,Standard
25382,Standard
25383,Standard
25384,Good
25385,Good
25386,Good
25387,Good
25388,Standard
25389,Standard
25390,Standard
25391,Standard
25392,Good
25393,Good
25394,Good
25395,Good
25396,Bad
25397,Bad
25398,Bad
25399,Bad
25400,Bad
25401,Bad
25402,Bad
25403,Bad
25404,Standard
25405,Standard
25406,Standard
25407,Standard
25408,Standard
25409,Standard
25410,Standard
25411,Standard
25412,Standard
25413,Standard
25414,Standard
25415,Standard
25416,Standard
25417,Standard
25418,Standard
25419,Standard
25420,Good
25421,Good
25422,Good
25423,Good
25424,Standard
25425,Standard
25426,Standard
25427,Standard
25428,Good
25429,Good
25430,Good
25431,Good
25432,Good
25433,Good
25434,Good
25435,Good
25436,Good
25437,Good
25438,Good
25439,Good
25440,Bad
25441,Bad
25442,Bad
25443,Bad
25444,Bad
25445,Bad
25446,Bad
25447,Bad
25448,Standard
25449,Standard
25450,Standard
25451,Standard
25452,Standard
25453,Standard
25454,Standard
25455,Standard
25456,Good
25457,Good
25458,Good
25459,Good
25460,Standard
25461,Standard
25462,Standard
25463,Standard
25464,Bad
25465,Bad
25466,Bad
25467,Bad
25468,Standard
25469,Standard
25470,Standard
25471,Standard
25472,Standard
25473,Standard
25474,Standard
25475,Standard
25476,Standard
25477,Standard
25478,Standard
25479,Standard
25480,Good
25481,Good
25482,Good
25483,Good
25484,Standard
25485,Standard
25486,Standard
25487,Standard
25488,Good
25489,Good
25490,Good
25491,Good
25492,Standard
25493,Standard
25494,Standard
25495,Standard
25496,Bad
25497,Bad
25498,Bad
25499,Bad
25500,Good
25501,Good
25502,Good
25503,Good
25504,Good
25505,Good
25506,Good
25507,Good
25508,Standard
25509,Standard
25510,Standard
25511,Standard
25512,Standard
25513,Standard
25514,Standard
25515,Standard
25516,Standard
25517,Standard
25518,Standard
25519,Standard
25520,Standard
25521,Standard
25522,Standard
25523,Standard
25524,Standard
25525,Standard
25526,Standard
25527,Standard
25528,Standard
25529,Standard
25530,Standard
25531,Standard
25532,Standard
25533,Standard
25534,Standard
25535,Standard
25536,Good
25537,Good
25538,Good
25539,Good
25540,Standard
25541,Standard
25542,Standard
25543,Standard
25544,Standard
25545,Standard
25546,Standard
25547,Standard
25548,Good
25549,Good
25550,Good
25551,Good
25552,Bad
25553,Bad
25554,Bad
25555,Bad
25556,Good
25557,Good
25558,Good
25559,Good
25560,Standard
25561,Standard
25562,Standard
25563,Standard
25564,Good
25565,Good
25566,Good
25567,Good
25568,Good
25569,Good
25570,Good
25571,Good
25572,Good
25573,Good
25574,Good
25575,Good
25576,Standard
25577,Standard
25578,Standard
25579,Standard
25580,Bad
25581,Bad
25582,Bad
25583,Bad
25584,Standard
25585,Standard
25586,Standard
25587,Standard
25588,Good
25589,Good
25590,Good
25591,Good
25592,Standard
25593,Standard
25594,Standard
25595,Standard
25596,Bad
25597,Bad
25598,Bad
25599,Bad
25600,Bad
25601,Bad
25602,Bad
25603,Bad
25604,Good
25605,Good
25606,Good
25607,Good
25608,Good
25609,Good
25610,Good
25611,Good
25612,Good
25613,Good
25614,Good
25615,Good
25616,Standard
25617,Standard
25618,Standard
25619,Standard
25620,Good
25621,Good
25622,Good
25623,Good
25624,Bad
25625,Bad
25626,Bad
25627,Bad
25628,Bad
25629,Bad
25630,Bad
25631,Bad
25632,Standard
25633,Standard
25634,Standard
25635,Standard
25636,Standard
25637,Standard
25638,Standard
25639,Standard
25640,Good
25641,Good
25642,Good
25643,Good
25644,Standard
25645,Standard
25646,Standard
25647,Standard
25648,Standard
25649,Standard
25650,Standard
25651,Standard
25652,Good
25653,Good
25654,Good
25655,Good
25656,Good
25657,Good
25658,Good
25659,Good
25660,Good
25661,Good
25662,Good
25663,Good
25664,Good
25665,Good
25666,Good
25667,Good
25668,Good
25669,Good
25670,Good
25671,Good
25672,Standard
25673,Standard
25674,Standard
25675,Standard
25676,Good
25677,Good
25678,Good
25679,Good
25680,Standard
25681,Standard
25682,Standard
25683,Standard
25684,Standard
25685,Standard
25686,Standard
25687,Standard
25688,Bad
25689,Bad
25690,Bad
25691,Bad
25692,Standard
25693,Standard
25694,Standard
25695,Standard
25696,Good
25697,Good
25698,Good
25699,Good
25700,Standard
25701,Standard
25702,Standard
25703,Standard
25704,Standard
25705,Standard
25706,Standard
25707,Standard
25708,Bad
25709,Bad
25710,Bad
25711,Bad
25712,Standard
25713,Standard
25714,Standard
25715,Standard
25716,Good
25717,Good
25718,Good
25719,Good
25720,Good
25721,Good
25722,Good
25723,Good
25724,Standard
25725,Standard
25726,Standard
25727,Standard
25728,Good
25729,Good
25730,Good
25731,Good
25732,Standard
25733,Standard
25734,Standard
25735,Standard
25736,Standard
25737,Standard
25738,Standard
25739,Standard
25740,Standard
25741,Standard
25742,Standard
25743,Standard
25744,Good
25745,Good
25746,Good
25747,Good
25748,Bad
25749,Bad
25750,Bad
25751,Bad
25752,Good
25753,Good
25754,Good
25755,Good
25756,Standard
25757,Standard
25758,Standard
25759,Standard
25760,Standard
25761,Standard
25762,Standard
25763,Standard
25764,Standard
25765,Standard
25766,Standard
25767,Standard
25768,Good
25769,Good
25770,Good
25771,Good
25772,Standard
25773,Standard
25774,Standard
25775,Standard
25776,Standard
25777,Standard
25778,Standard
25779,Standard
25780,Standard
25781,Standard
25782,Standard
25783,Standard
25784,Good
25785,Good
25786,Good
25787,Good
25788,Bad
25789,Bad
25790,Bad
25791,Bad
25792,Good
25793,Good
25794,Good
25795,Good
25796,Standard
25797,Standard
25798,Standard
25799,Standard
25800,Standard
25801,Standard
25802,Standard
25803,Standard
25804,Bad
25805,Bad
25806,Bad
25807,Bad
25808,Standard
25809,Standard
25810,Standard
25811,Standard
25812,Bad
25813,Bad
25814,Bad
25815,Bad
25816,Standard
25817,Standard
25818,Standard
25819,Standard
25820,Standard
25821,Standard
25822,Standard
25823,Standard
25824,Standard
25825,Standard
25826,Standard
25827,Standard
25828,Standard
25829,Standard
25830,Standard
25831,Standard
25832,Standard
25833,Standard
25834,Standard
25835,Standard
25836,Standard
25837,Standard
25838,Standard
25839,Standard
25840,Bad
25841,Bad
25842,Bad
25843,Bad
25844,Standard
25845,Standard
25846,Standard
25847,Standard
25848,Bad
25849,Bad
25850,Bad
25851,Bad
25852,Standard
25853,Standard
25854,Standard
25855,Standard
25856,Standard
25857,Standard
25858,Standard
25859,Standard
25860,Bad
25861,Bad
25862,Bad
25863,Bad
25864,Bad
25865,Bad
25866,Bad
25867,Bad
25868,Good
25869,Good
25870,Good
25871,Good
25872,Standard
25873,Standard
25874,Standard
25875,Standard
25876,Bad
25877,Bad
25878,Bad
25879,Bad
25880,Bad
25881,Bad
25882,Bad
25883,Bad
25884,Standard
25885,Standard
25886,Standard
25887,Standard
25888,Standard
25889,Standard
25890,Standard
25891,Standard
25892,Bad
25893,Bad
25894,Bad
25895,Bad
25896,Standard
25897,Standard
25898,Standard
25899,Standard
25900,Standard
25901,Standard
25902,Standard
25903,Standard
25904,Standard
25905,Standard
25906,Standard
25907,Standard
25908,Standard
25909,Standard
25910,Standard
25911,Standard
25912,Good
25913,Good
25914,Good
25915,Good
25916,Standard
25917,Standard
25918,Standard
25919,Standard
25920,Bad
25921,Bad
25922,Bad
25923,Bad
25924,Good
25925,Good
25926,Good
25927,Good
25928,Good
25929,Good
25930,Good
25931,Good
25932,Good
25933,Good
25934,Good
25935,Good
25936,Standard
25937,Standard
25938,Standard
25939,Standard
25940,Bad
25941,Bad
25942,Bad
25943,Bad
25944,Standard
25945,Standard
25946,Standard
25947,Standard
25948,Standard
25949,Standard
25950,Standard
25951,Standard
25952,Good
25953,Good
25954,Good
25955,Good
25956,Bad
25957,Bad
25958,Bad
25959,Bad
25960,Bad
25961,Bad
25962,Bad
25963,Bad
25964,Bad
25965,Bad
25966,Bad
25967,Bad
25968,Standard
25969,Standard
25970,Standard
25971,Standard
25972,Good
25973,Good
25974,Good
25975,Good
25976,Standard
25977,Standard
25978,Standard
25979,Standard
25980,Good
25981,Good
25982,Good
25983,Good
25984,Standard
25985,Standard
25986,Standard
25987,Standard
25988,Standard
25989,Standard
25990,Standard
25991,Standard
25992,Bad
25993,Bad
25994,Bad
25995,Bad
25996,Good
25997,Good
25998,Good
25999,Good
26000,Bad
26001,Bad
26002,Bad
26003,Bad
26004,Standard
26005,Standard
26006,Standard
26007,Standard
26008,Standard
26009,Standard
26010,Standard
26011,Standard
26012,Good
26013,Good
26014,Good
26015,Good
26016,Bad
26017,Bad
26018,Bad
26019,Bad
26020,Standard
26021,Standard
26022,Standard
26023,Standard
26024,Standard
26025,Standard
26026,Standard
26027,Standard
26028,Standard
26029,Standard
26030,Standard
26031,Standard
26032,Good
26033,Good
26034,Good
26035,Good
26036,Bad
26037,Bad
26038,Bad
26039,Bad
26040,Standard
26041,Standard
26042,Standard
26043,Standard
26044,Bad
26045,Bad
26046,Bad
26047,Bad
26048,Standard
26049,Standard
26050,Standard
26051,Standard
26052,Good
26053,Good
26054,Good
26055,Good
26056,Good
26057,Good
26058,Good
26059,Good
26060,Good
26061,Good
26062,Good
26063,Good
26064,Standard
26065,Standard
26066,Standard
26067,Standard
26068,Good
26069,Good
26070,Good
26071,Good
26072,Standard
26073,Standard
26074,Standard
26075,Standard
26076,Bad
26077,Bad
26078,Bad
26079,Bad
26080,Bad
26081,Bad
26082,Bad
26083,Bad
26084,Good
26085,Good
26086,Good
26087,Good
26088,Bad
26089,Bad
26090,Bad
26091,Bad
26092,Standard
26093,Standard
26094,Standard
26095,Standard
26096,Good
26097,Good
26098,Good
26099,Good
26100,Bad
26101,Bad
26102,Bad
26103,Bad
26104,Good
26105,Good
26106,Good
26107,Good
26108,Bad
26109,Bad
26110,Bad
26111,Bad
26112,Standard
26113,Standard
26114,Standard
26115,Standard
26116,Standard
26117,Standard
26118,Standard
26119,Standard
26120,Good
26121,Good
26122,Good
26123,Good
26124,Standard
26125,Standard
26126,Standard
26127,Standard
26128,Good
26129,Good
26130,Good
26131,Good
26132,Good
26133,Good
26134,Good
26135,Good
26136,Standard
26137,Standard
26138,Standard
26139,Standard
26140,Bad
26141,Bad
26142,Bad
26143,Bad
26144,Good
26145,Good
26146,Good
26147,Good
26148,Standard
26149,Standard
26150,Standard
26151,Standard
26152,Bad
26153,Bad
26154,Bad
26155,Bad
26156,Bad
26157,Bad
26158,Bad
26159,Bad
26160,Standard
26161,Standard
26162,Standard
26163,Standard
26164,Bad
26165,Bad
26166,Bad
26167,Bad
26168,Bad
26169,Bad
26170,Bad
26171,Bad
26172,Good
26173,Good
26174,Good
26175,Good
26176,Standard
26177,Standard
26178,Standard
26179,Standard
26180,Standard
26181,Standard
26182,Standard
26183,Standard
26184,Standard
26185,Standard
26186,Standard
26187,Standard
26188,Good
26189,Good
26190,Good
26191,Good
26192,Good
26193,Good
26194,Good
26195,Good
26196,Bad
26197,Bad
26198,Bad
26199,Bad
26200,Standard
26201,Standard
26202,Standard
26203,Standard
26204,Standard
26205,Standard
26206,Standard
26207,Standard
26208,Good
26209,Good
26210,Good
26211,Good
26212,Standard
26213,Standard
26214,Standard
26215,Standard
26216,Standard
26217,Standard
26218,Standard
26219,Standard
26220,Good
26221,Good
26222,Good
